Time_sec,knee_angle,ankle_angle,knee_velocity_filtered,ankle_velocity_filtered,Pressure
0.007,0.0,-30.0,0.0034802782508114374,0.16980020293870346,107.76
0.012,0.0,-30.0,3.110459979220509,0.02918524932387688,107.77
0.017,0.0,-30.0,6.450678744490028,0.21399807871981488,107.77
0.022,0.0,-30.0,10.215906766594749,1.08248498021594,107.79
0.027,0.0,-30.0,14.427063916123219,2.865762431257274,107.75
0.032,0.0,-30.0,18.890479879122932,5.619533015350446,107.75
0.037,0.0,-30.0,23.203498778587264,9.20479870547211,107.73
0.042,0.0,-30.0,26.81079967053226,13.30160894036364,107.73
0.046,0.0,-30.0,29.102164427654657,17.454538857945852,107.73
0.052,0.4356601452069397,-30.0,29.53292109651623,21.142764315934713,107.71
0.057,0.4356601452069397,-30.0,27.742120146494322,23.862258067388485,107.69
0.062,0.4356601452069397,-30.0,23.642430316711714,25.20419483760756,107.69
0.067,1.3772695111252653,-28.923525494034358,17.460586852296892,24.91379039314875,107.65
0.072,1.3772695111252653,-28.923525494034358,9.717567149793952,22.918613645721695,107.65
0.077,1.3772695111252653,-28.923525494034358,1.1515732356147115,19.32412273593667,107.65
0.082,1.3772695111252653,-28.923525494034358,-7.399166834119785,14.383548092857854,107.63
0.087,1.3772695111252653,-29.5647109072127,-15.127080357628786,8.45503677396435,107.65
0.092,0.4356601452069397,-29.105566149186778,-21.370543427041476,1.9587282780090325,107.67
0.096,0.4356601452069397,-29.105566149186778,-25.69101896579543,-4.6588414400829645,107.68
0.102,0.4356601452069397,-29.105566149186778,-27.901430423252467,-10.952380685476934,107.68
0.107,0.4356601452069397,-29.105566149186778,-28.048870895015625,-16.501628813818833,107.69
0.112,0.4356601452069397,-29.105566149186778,-26.365140017371186,-20.936405920203896,107.73
0.117,0.4356601452069397,-29.105566149186778,-23.202780036229793,-23.965641527015883,107.73
0.122,0.4356601452069397,-29.105566149186778,-18.972402591256888,-25.4086771884519,107.76
0.127,0.0,-29.105566149186778,-14.091581809616766,-25.222577357495844,107.76
0.137,0.0,-30.0,-8.949433264269587,-23.5165898559426,107.78
0.142,0.0,-30.0,-3.8863058028624047,-20.54597672416976,107.78
0.147,0.0,-30.0,0.8146207469649734,-16.68235206498226,107.78
0.152,0.0,-30.0,4.928104496846532,-12.364451589932857,107.78
0.157,0.0,-30.0,8.284360479941581,-8.03885680546902,107.78
0.162,0.0,-30.0,10.767047342094408,-4.10242430047546,107.78
0.167,0.0,-30.0,12.31392640166826,-0.8568055979278941,107.76
0.172,0.0,-30.0,12.920181051890353,1.518287645605199,107.76
0.182,0.0,-30.0,12.642060600424301,2.9709431415384735,107.76
0.187,0.4356601452069397,-30.0,11.59702871924802,3.5639890849440223,107.74
0.192,0.4356601452069397,-30.0,9.956814959678946,3.447895818167855,107.72
0.197,0.4356601452069397,-30.0,7.931831627618498,2.8259966518439166,107.71
0.207,0.4356601452069397,-30.0,5.748433851513863,1.9184883739041951,107.66
0.212,0.4356601452069397,-30.0,3.6230229585145444,0.930685830812559,107.64
0.217,0.4356601452069397,-30.0,1.7379834883386724,0.02933339861618965,107.64
0.222,0.4356601452069397,-30.0,0.22379455029873846,-0.6711608839087344,107.62
0.232,0.4356601452069397,-30.0,-0.8500540371134159,-1.1125396878090676,107.58
0.237,0.4356601452069397,-30.0,-1.4747459831857368,-1.2880005370290581,107.6
0.242,0.4356601452069397,-30.0,-1.6936236297597385,-1.2313845603799696,107.58
0.247,0.4356601452069397,-30.0,-1.5879078761781174,-1.003045103345115,107.6
0.257,0.4356601452069397,-30.0,-1.2596488978844744,-0.6750949277040805,107.64
0.262,0.4356601452069397,-30.0,-0.814841798619663,-0.3182568601620724,107.67
0.267,0.4356601452069397,-30.0,-0.34910282581182805,0.008157768267223402,107.68
0.272,0.4356601452069397,-30.0,0.06252014870558799,0.2623935533490246,107.71
0.282,0.4356601452069397,-30.0,0.37093953277216657,0.4224880138469814,107.75
0.287,0.4356601452069397,-30.0,0.5537931135121698,0.48513995755528105,107.75
0.292,0.4356601452069397,-30.0,0.6123957697296983,0.4621158207114745,107.77
0.297,0.4356601452069397,-30.0,0.5660826608968554,0.37525664129966346,107.79
0.307,0.4356601452069397,-30.0,0.4452815604719114,0.25111581637956887,107.76
0.312,0.4356601452069397,-30.0,0.28456008928587506,0.11608275105965107,107.77
0.317,0.4356601452069397,-30.0,0.11663781698304838,-0.007412980505337058,107.79
0.322,0.4356601452069397,-30.0,-0.03199394233637687,-0.10331102911889127,107.77
0.327,0.4356601452069397,-30.0,-0.14356964102282546,-0.162905341295798,107.77
0.332,0.4356601452069397,-30.0,-0.20971922687267633,-0.18457950450870478,107.75
0.337,0.4356601452069397,-30.0,-0.23061659581927257,-0.17260503356990525,107.77
0.342,0.4356601452069397,-30.0,-0.21306641024769993,-0.13537555728003342,107.75
0.352,0.4356601452069397,-30.0,-0.16804231267860611,-0.08344162333242165,107.71
0.357,0.4356601452069397,-30.0,-0.10815686546962941,-0.02765175731433407,107.69
0.362,0.4356601452069397,-30.0,-0.04544811604198969,0.02238296146658321,107.67
0.367,0.4356601452069397,-30.0,0.010262970738529869,0.05938005432173537,107.65
0.377,0.4356601452069397,-30.0,0.05232914622191392,0.07899900571945595,107.61
0.382,0.4356601452069397,-30.0,0.07755803901863918,0.08000968947118883,107.61
0.387,0.4356601452069397,-30.0,0.0859248333845242,0.0640892665560496,107.59
0.392,0.4356601452069397,-30.0,0.07988321219435321,0.03533685728749316,107.57
0.402,0.4356601452069397,-30.0,0.06346359631144853,-0.0004075981160685843,107.57
0.407,0.4356601452069397,-30.0,0.04133745605630114,-0.036367004763223396,107.55
0.412,0.4356601452069397,-30.0,0.017992289411160333,-0.06569442399626745,107.57
0.417,0.4356601452069397,-30.0,-0.0028860097946092613,-0.0823535361192835,107.55
0.422,0.4356601452069397,-30.0,-0.018778230206227726,-0.08196009133355035,107.57
0.427,0.4356601452069397,-30.0,-0.02844609648618554,-0.06252055375306845,107.59
0.432,0.4356601452069397,-30.0,-0.031833805624764594,-0.02498679546169855,107.63
0.437,0.4356601452069397,-30.0,-0.029817790650285798,0.02646980888712339,107.66
0.442,0.4356601452069397,-30.0,-0.023874568610912826,0.08456591619904412,107.65
0.447,0.4356601452069397,-30.0,-0.01573325718268891,0.13948075426138157,107.7
0.452,0.4356601452069397,-30.0,-0.007067031288377921,0.17994113940643555,107.69
0.457,0.4356601452069397,-30.0,0.0007397813106742462,0.19479088706809458,107.67
0.462,0.4356601452069397,-30.0,0.006731373689377486,0.17492625716261723,107.71
0.467,0.4356601452069397,-30.0,0.010426817864634029,0.11537593778244189,107.72
0.472,0.4356601452069397,-30.0,0.011786714042527256,0.01720812215761052,107.73
0.477,0.4356601452069397,-30.0,0.01112244210238551,-0.11111935547369468,107.72
0.482,0.4356601452069397,-30.0,0.008973858723681344,-0.2533642188811212,107.74
0.487,0.4356601452069397,-30.0,0.005980257076243806,-0.38640164231698165,107.72
0.492,0.4356601452069397,-30.0,0.002764967818504826,-0.48262513227693055,107.74
0.497,0.4356601452069397,-30.0,-0.00015247355756001232,-0.5138299551748333,107.74
0.507,0.4356601452069397,-30.0,-0.0024097510193636868,-0.456282738963037,107.7
0.512,0.4356601452069397,-30.0,-0.003820478901841456,-0.29637530538833423,107.7
0.517,0.4356601452069397,-30.0,-0.004363046987096867,-0.03598011294667679,107.69
0.522,0.4356601452069397,-30.0,-0.0041477632201542,0.30357103991321926,107.66
0.532,0.4356601452069397,-30.0,-0.0033718524753987866,0.680013401583187,107.64
0.537,0.4356601452069397,-30.0,-0.002271559363219536,1.032163182180837,107.59
0.542,0.4356601452069397,-30.0,-0.001079005575824328,1.2860324931149472,107.62
0.547,0.4356601452069397,-30.0,1.0916856733492482e-05,1.365074327205316,107.6
0.552,0.4356601452069397,-30.0,0.0008609599963241884,1.203836860269524,107.57
0.557,0.4356601452069397,-30.0,0.0013990259971398474,0.7634867802485606,107.6
0.562,0.4356601452069397,-30.0,0.0016144870184003732,0.04690685884935907,107.57
0.567,0.4356601452069397,-30.0,0.0015463037223158807,-0.8894567713076464,107.6
0.572,0.4356601452069397,-30.0,0.0012664761061900662,-1.9299665518213789,107.6
0.577,0.4356601452069397,-30.0,0.0008622717252424272,-2.9029817679113608,107.6
0.582,0.4356601452069397,-30.0,0.0004201023260324751,-3.594505345407938,107.64
0.587,0.4356601452069397,-30.0,1.3050738154753327e-05,-3.772421857786146,107.66
0.597,0.4356601452069397,-30.0,-0.00030692257026211195,-3.219541845508629,107.72
0.602,0.4356601452069397,-30.0,-0.000511974530073251,-1.771612384001974,107.7
0.607,0.4356601452069397,-30.0,-0.0005971863263347097,0.6453614133589624,107.72
0.612,0.4356601452069397,-30.0,-0.0005762724909272576,3.9852744958602395,107.76
0.622,0.4356601452069397,-30.0,-0.0004754981090590122,8.066375709864593,107.76
0.627,0.4356601452069397,-30.0,-0.0003270870467965902,12.575429171398676,107.74
0.632,0.4356601452069397,-30.0,-0.00016319820319393854,17.094066677343818,107.76
0.637,0.4356601452069397,-30.0,-1.1228114566562027e-05,21.145617486912,107.76
0.642,0.4356601452069397,-30.0,0.00010916186511889741,24.255953741142875,107.76
0.647,0.4356601452069397,-30.0,0.0001872352987001956,26.017833360352043,107.76
0.652,0.4356601452069397,-29.105566149186778,0.0002208028186831005,26.14646279221436,107.76
0.657,0.4356601452069397,-29.105566149186778,0.00021467473250297523,24.51582465155607,107.74
0.662,0.4356601452069397,-29.105566149186778,0.0001784264229211773,21.17057841445717,107.72
0.667,0.4356601452069397,-29.105566149186778,0.00012395409875316739,16.31495990752257,107.7
0.672,0.4356601452069397,-29.105566149186778,6.3224751731465e-05,10.285113498987995,107.7
0.677,0.4356601452069397,-29.105566149186778,6.507431833341986e-06,3.5128126069034797,107.68
0.687,0.4356601452069397,-29.105566149186778,-3.8760316328589186e-05,-3.513216816160408,107.64
0.692,0.4356601452069397,-29.105566149186778,-6.8443669771576e-05,-10.285450017929795,107.62
0.697,0.4356601452069397,-29.105566149186778,-8.15951436507887e-05,-16.315168410768912,107.58
0.702,0.4356601452069397,-29.105566149186778,-7.989767736384809e-05,-21.170613156531015,107.6
0.712,0.4356601452069397,-29.105566149186778,-6.684416964520504e-05,-24.515661220515316,107.57
0.717,0.4356601452069397,-29.105566149186778,-4.683109028805034e-05,-26.14610381592543,107.56
0.722,0.4356601452069397,-29.105566149186778,-2.43175185548261e-05,-26.01731227909771,107.56
0.727,0.4356601452069397,-30.0,-3.158285038294024e-06,-24.255335545037834,107.56
0.732,0.4356601452069397,-30.0,1.3829329431947092e-05,-21.14499529828935,107.58
0.737,0.4356601452069397,-30.0,2.5053009780695926e-05,-17.09355332524968,107.62
0.742,0.4356601452069397,-30.0,3.0113195506169906e-05,-12.57514349889042,107.62
0.747,0.4356601452069397,-30.0,2.9603773406019513e-05,-8.066424250573021,107.66
0.752,0.4356601452069397,-30.0,2.4811030478022084e-05,-3.985730254537834,107.68
0.757,0.4356601452069397,-30.0,1.737669149503824e-05,-0.6462426134505304,107.72
0.762,0.4356601452069397,-30.0,8.981644165297932e-06,1.770359792661429,107.74
0.767,0.4356601452069397,-30.0,1.0915460713255258e-06,3.218053646799846,107.74
0.777,0.4356601452069397,-30.0,-5.21245238524774e-06,3.770912931263698,107.76
0.782,0.4356601452069397,-30.0,-9.311945688374784e-06,3.5932519197716646,107.74
0.787,0.4356601452069397,-30.0,-1.1046825050277822e-05,2.9022875050900203,107.76
0.792,0.4356601452069397,-30.0,-1.064634624272494e-05,1.9301141271806679,107.76
0.797,0.4356601452069397,-30.0,-8.618919544157772e-06,0.8906498191845617,107.78
0.802,0.4356601452069397,-30.0,-5.6243941679734615e-06,-0.04460335979205281,107.76
0.807,0.4356601452069397,-30.0,-2.349717184728549e-06,-0.7601970103334801,107.74
